2025-09-02 19:10:09 | DEBUG | pipeline | Logging initialized at pipeline_runs\2025-09-02T17-10-09Z\logs\run.log
2025-09-02 19:10:09 | INFO | pipeline | Run directory: pipeline_runs\2025-09-02T17-10-09Z
2025-09-02 19:10:09 | DEBUG | pipeline | Logging initialized at pipeline_runs\2025-09-02T17-10-09Z\logs\run.log
2025-09-02 19:10:10 | INFO | pipeline | Fetched arxiv-cs-ne (200)
2025-09-02 19:10:10 | INFO | pipeline | arxiv-cs-ne: 0 new raw entries
2025-09-02 19:10:10 | INFO | pipeline | Fetched arxiv-cs-lg (200)
2025-09-02 19:10:10 | INFO | pipeline | arxiv-cs-lg: 0 new raw entries
2025-09-02 19:10:11 | INFO | pipeline | Fetched arxiv-q-bio-nc (200)
2025-09-02 19:10:11 | INFO | pipeline | arxiv-q-bio-nc: 0 new raw entries
2025-09-02 19:10:17 | ERROR | pipeline | Failed to fetch biorxiv-neuro: RetryError[<Future at 0x2d010cdf710 state=finished raised HTTPError>]
2025-09-02 19:10:18 | INFO | pipeline | Fetched nature-neuroscience (200)
2025-09-02 19:10:18 | INFO | pipeline | nature-neuroscience: 8 new raw entries
2025-09-02 19:10:23 | ERROR | pipeline | Failed to fetch elife-neuroscience: RetryError[<Future at 0x2d010d27750 state=finished raised HTTPError>]
2025-09-02 19:10:29 | ERROR | pipeline | Failed to fetch pnas-neuroscience: RetryError[<Future at 0x2d00d670b90 state=finished raised HTTPError>]
2025-09-02 19:10:34 | ERROR | pipeline | Failed to fetch nih-director-blog: RetryError[<Future at 0x2d010d2fa50 state=finished raised SSLError>]
2025-09-02 19:10:38 | ERROR | pipeline | Failed to fetch mit-techreview-ai: RetryError[<Future at 0x2d010cfc210 state=finished raised HTTPError>]
2025-09-02 19:10:42 | INFO | pipeline | Extracted 0 articles
2025-09-02 19:10:42 | INFO | pipeline | No articles to cluster.
