2025-09-02 20:01:08 | DEBUG | pipeline | Logging initialized at pipeline_runs\2025-09-02T18-01-08Z\logs\run.log
2025-09-02 20:01:08 | INFO | pipeline | Run directory: pipeline_runs\2025-09-02T18-01-08Z
2025-09-02 20:01:09 | INFO | pipeline | HTTP 304 Not Modified: https://export.arxiv.org/rss/cs.NE
2025-09-02 20:01:09 | INFO | pipeline | Not modified: arxiv-cs-ne
2025-09-02 20:01:09 | INFO | pipeline | HTTP 304 Not Modified: https://export.arxiv.org/rss/cs.LG
2025-09-02 20:01:09 | INFO | pipeline | Not modified: arxiv-cs-lg
2025-09-02 20:01:09 | INFO | pipeline | HTTP 304 Not Modified: https://export.arxiv.org/rss/q-bio.NC
2025-09-02 20:01:09 | INFO | pipeline | Not modified: arxiv-q-bio-nc
2025-09-02 20:01:10 | ERROR | pipeline | HTTP error: 403 Forbidden url=https://www.biorxiv.org/collection/neuroscience/rss.xml final=https://www.biorxiv.org/collection/neuroscience/rss.xml
2025-09-02 20:01:12 | ERROR | pipeline | HTTP error: 403 Forbidden url=https://www.biorxiv.org/collection/neuroscience/rss.xml final=https://www.biorxiv.org/collection/neuroscience/rss.xml
2025-09-02 20:01:15 | ERROR | pipeline | HTTP error: 403 Forbidden url=https://www.biorxiv.org/collection/neuroscience/rss.xml final=https://www.biorxiv.org/collection/neuroscience/rss.xml
2025-09-02 20:01:15 | ERROR | pipeline | Failed to fetch biorxiv-neuro: RetryError[<Future at 0x210985e8390 state=finished raised HTTPError>]
2025-09-02 20:01:15 | INFO | pipeline | HTTP 304 Not Modified: https://www.nature.com/neuro.rss
2025-09-02 20:01:15 | INFO | pipeline | Not modified: nature-neuroscience
2025-09-02 20:01:16 | ERROR | pipeline | HTTP error: 404 Not Found url=https://elifesciences.org/subjects/neuroscience/rss.xml final=https://elifesciences.org/subjects/neuroscience/rss.xml
2025-09-02 20:01:18 | ERROR | pipeline | HTTP error: 404 Not Found url=https://elifesciences.org/subjects/neuroscience/rss.xml final=https://elifesciences.org/subjects/neuroscience/rss.xml
2025-09-02 20:01:21 | ERROR | pipeline | HTTP error: 404 Not Found url=https://elifesciences.org/subjects/neuroscience/rss.xml final=https://elifesciences.org/subjects/neuroscience/rss.xml
2025-09-02 20:01:21 | ERROR | pipeline | Failed to fetch elife-neuroscience: RetryError[<Future at 0x210985eded0 state=finished raised HTTPError>]
2025-09-02 20:01:21 | ERROR | pipeline | HTTP error: 410  url=https://www.pnas.org/rss/subject/neuroscience.xml final=https://www.pnas.org/rss/subject/neuroscience.xml
2025-09-02 20:01:23 | ERROR | pipeline | HTTP error: 410  url=https://www.pnas.org/rss/subject/neuroscience.xml final=https://www.pnas.org/rss/subject/neuroscience.xml
2025-09-02 20:01:26 | ERROR | pipeline | HTTP error: 410  url=https://www.pnas.org/rss/subject/neuroscience.xml final=https://www.pnas.org/rss/subject/neuroscience.xml
2025-09-02 20:01:26 | ERROR | pipeline | Failed to fetch pnas-neuroscience: RetryError[<Future at 0x21098607190 state=finished raised HTTPError>]
2025-09-02 20:01:26 | ERROR | pipeline | HTTP request failed: HTTPSConnectionPool(host='directorsblog.nih.gov', port=443): Max retries exceeded with url: /feed/ (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'directorsblog.nih.gov'. (_ssl.c:1006)")))
2025-09-02 20:01:28 | ERROR | pipeline | HTTP request failed: HTTPSConnectionPool(host='directorsblog.nih.gov', port=443): Max retries exceeded with url: /feed/ (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'directorsblog.nih.gov'. (_ssl.c:1006)")))
